secu_code,secu_abbr,chi_spelling,listed_date,listed_sector,industry_code,first_industry_name,second_industry_name,third_industry_name
"600699.SH","均胜电子","JSDZ","1993.12.06",1,"280206","汽车","汽车零部件","汽车电子电气系统"
"600703.SH","三安光电","SAGD","1996.05.28",1,"270302","电子","光学光电子","LED"
"600704.SH","物产中大","WCZD","1996.06.06",1,"420802","交通运输","物流","原材料供应链服务"
"600705.SH","中航产融","ZHCR","1996.05.16",1,"490302","非银金融","多元金融","金融控股"
"600706.SH","曲江文旅","QJWL","1996.05.16",1,"461002","社会服务","旅游及景区","人工景区"
"600707.SH","彩虹股份","CHGF","1996.05.20",1,"270301","电子","光学光电子","面板"
"600708.SH","光明地产","GMDC","1996.06.06",1,"430101","房地产","房地产开发","住宅开发"
"600710.SH","苏美达","SMD","1996.07.01",1,"450201","商贸零售","贸易Ⅱ","贸易Ⅲ"
"600712.SH","南宁百货","NNBH","1996.06.26",1,"450301","商贸零售","一般零售","百货"
"600716.SH","凤凰股份","FHGF","1996.07.02",1,"430101","房地产","房地产开发","住宅开发"
"600717.SH","天津港","TJG","1996.06.14",1,"421102","交通运输","航运港口","港口"
"600719.SH","大连热电","DLRD","1996.07.16",1,"410104","公用事业","电力","热力服务"
"600724.SH","宁波富达","NBFD","1996.07.16",1,"430302","房地产","房地产服务","房产租赁经纪"
"600725.SH","云维股份","YWGF","1996.07.02",1,"740201","煤炭","焦炭Ⅱ","焦炭Ⅲ"
"600726.SH","华电能源","HDNY","1996.07.01",1,"410101","公用事业","电力","火力发电"
"600728.SH","佳都科技","JDKJ","1996.07.16",1,"710301","计算机","IT服务Ⅱ","IT服务Ⅲ"
"600731.SH","湖南海利","HNHL","1996.08.02",1,"220803","基础化工","农化制品","农药"
"600732.SH","爱旭股份","AXGF","1996.08.16",1,"630502","电力设备","光伏设备","光伏电池组件"
"600735.SH","新华锦","XHJ","1996.07.26",1,"350303","纺织服饰","饰品","其他饰品"
"600736.SH","苏州高新","SZGX","1996.08.15",1,"430101","房地产","房地产开发","住宅开发"
"600737.SH","中粮糖业","ZLTY","1996.07.31",1,"110504","农林牧渔","农产品加工","其他农产品加工"
"600740.SH","山西焦化","SXJH","1996.08.08",1,"740201","煤炭","焦炭Ⅱ","焦炭Ⅲ"
"600741.SH","华域汽车","HYQC","1996.08.26",1,"280202","汽车","汽车零部件","车身附件及饰件"
"600742.SH","一汽富维","YQFW","1996.08.26",1,"280202","汽车","汽车零部件","车身附件及饰件"
"600743.SH","华远地产","HYDC","1996.09.09",1,"430101","房地产","房地产开发","住宅开发"
"600745.SH","闻泰科技","WTKJ","1996.08.28",1,"270102","电子","半导体","分立器件"
"600746.SH","江苏索普","JSSP","1996.09.18",1,"220205","基础化工","化学原料","煤化工"
"600748.SH","上实发展","SSFZ","1996.09.25",1,"430101","房地产","房地产开发","住宅开发"
"600749.SH","西藏旅游","XZLY","1996.10.15",1,"461003","社会服务","旅游及景区","自然景区"
"600750.SH","江中药业","JZYY","1996.09.23",1,"370201","医药生物","中药Ⅱ","中药Ⅲ"
